EnemyId,PatternTurn,ExecutionOrder,ActionType,Value,RepeatCount,TargetType,StatusType,Duration,IsPermanent,ConditionType,ConditionValue
Thief1,1,1,DealDamage,7,1,Player,None,0,FALSE,None,0
Thief1,2,1,DealDamage,3,3,Player,None,0,FALSE,None,0
Thief1,3,1,ApplyStatus,1,1,Self,Might,0,TRUE,None,0
Thief2,1,1,DealDamage,7,1,Player,None,0,FALSE,None,0
Thief2,2,1,DealDamage,3,3,Player,None,0,FALSE,None,0
Thief2,3,1,ApplyStatus,1,1,Self,Might,0,TRUE,None,0
Mermaid,1,1,DealDamage,8,1,Player,None,0,FALSE,None,0
Mermaid,1,2,ApplyStatus,1,1,Player,Weaken,1,FALSE,None,0
Mermaid,2,1,DealDamage,2,5,Player,None,0,FALSE,None,0
Mermaid,3,1,ApplyStatus,2,1,Self,Might,0,TRUE,None,0
SeaCrab1,1,1,ApplyStatus,1,1,Player,Weaken,1,FALSE,None,0
SeaCrab1,2,1,DealDamage,9,1,Player,None,0,FALSE,None,0
SeaCrab1,3,1,DealDamage,3,3,Player,None,0,FALSE,None,0
SeaCrab2,1,1,ApplyStatus,1,1,Player,Weaken,1,FALSE,None,0
SeaCrab2,2,1,DealDamage,9,1,Player,None,0,FALSE,None,0
SeaCrab2,3,1,DealDamage,3,3,Player,None,0,FALSE,None,0
Goby1,1,1,DealDamage,2,1,Player,None,0,FALSE,None,0
Goby1,1,2,ApplyStatus,1,1,Player,Cripple,1,FALSE,None,0
Goby1,2,1,DealDamage,7,1,Player,None,0,FALSE,None,0
Goby1,3,1,ApplyStatus,3,1,Self,Might,0,TRUE,None,0
Goby2,1,1,DealDamage,2,1,Player,None,0,FALSE,None,0
Goby2,1,2,ApplyStatus,1,1,Player,Cripple,1,FALSE,None,0
Goby2,2,1,DealDamage,7,1,Player,None,0,FALSE,None,0
Goby2,3,1,ApplyStatus,3,1,Self,Might,0,TRUE,None,0
Mimic1,1,1,DealDamage,7,1,Player,None,0,FALSE,None,0
Mimic1,2,1,DealDamage,5,1,Player,None,0,FALSE,None,0
Mimic2,1,1,DealDamage,7,1,Player,None,0,FALSE,None,0
Mimic2,2,1,DealDamage,5,1,Player,None,0,FALSE,None,0
BossCaptain,1,1,DealDamage,2,1,Player,None,0,FALSE,None,0
BossCaptain,1,2,ApplyStatus,1,1,Player,Weaken,1,FALSE,None,0
BossCaptain,2,1,DealDamage,2,1,Player,None,0,FALSE,None,0
BossCaptain,2,2,ApplyStatus,1,1,Player,Cripple,1,FALSE,None,0
BossCaptain,3,1,DealDamage,2,3,Player,None,0,FALSE,None,0
BossCaptain,4,1,ApplyStatus,1,1,Allcrew,Might,0,TRUE,None,0
Helmsman,1,1,DealDamage,8,1,Player,None,0,FALSE,None,0
Helmsman,2,1,GainBlock,8,1,Self,None,0,FALSE,None,0
SecondMate,1,1,GainBlock,10,1,Self,None,0,FALSE,None,0
SecondMate,2,1,DealDamage,10,1,Player,None,0,FALSE,None,0
ShipwreckCrab,1,1,DealDamage,9,1,Player,None,0,FALSE,None,0
ShipwreckCrab,2,1,DealDamage,15,1,Player,None,0,FALSE,None,0
ShipwreckCrab,3,1,ReadyToStrongAttack,1,1,Self,None,0,FALSE,None,0
ShipwreckCrab,4,1,DealDamage,29,1,Player,None,0,FALSE,None,0
ShipwreckCrab,5,1,ApplyStatus,2,1,Self,Might,0,TRUE,None,0
ShipwreckCrab,5,2,GainBlock,15,1,Self,None,0,FALSE,None,0
ShortFinnedSandfish,1,1,DealDamage,17,1,Player,None,0,FALSE,None,0
ShortFinnedSandfish,2,1,DealDamage,7,3,Player,None,0,FALSE,None,0
OldMermaid,1,1,DealDamage,15,1,Player,None,0,FALSE,None,0
OldMermaid,2,1,DealDamage,5,5,Player,None,0,FALSE,None,0
OldMermaid,2,2,ApplyStatus,2,1,Player,Cripple,2,FALSE,None,0
OldMermaid,3,1,ApplyStatus,2,1,Self,Might,0,TRUE,None,0
Turtle1,1,1,ApplyStatus,1,1,Self,Kshellguard,0,TRUE,None,0
Turtle1,2,1,DealDamage,10,1,Player,None,0,FALSE,None,0
Turtle1,2,2,GainBlock,15,1,Self,None,0,FALSE,None,0
Turtle1,3,1,GainBlock,37,1,Self,None,0,FALSE,None,0
Turtle2,1,1,ApplyStatus,1,1,Self,Kshellguard,0,TRUE,None,0
Turtle2,2,1,DealDamage,10,1,Player,None,0,FALSE,None,0
Turtle2,2,2,GainBlock,15,1,Self,None,0,FALSE,None,0
Turtle2,3,1,GainBlock,37,1,Self,None,0,FALSE,None,0
JellyfishMermaid,1,1,ApplyStatus,2,1,Self,DToxinSwitch,0,TRUE,None,0
JellyfishMermaid,2,1,DealDamage,9,2,Player,None,0,FALSE,None,0
JellyfishMermaid,3,1,DealDamage,5,2,Player,None,0,FALSE,None,0
Drowned1,1,1,ApplyStatus,1,1,Self,FFesteredSkin,0,TRUE,None,0
Drowned1,2,1,DealDamage,10,1,Player,None,0,FALSE,None,0
Drowned1,3,1,DealDamage,7,1,Player,None,0,FALSE,None,0
Drowned2,1,1,ApplyStatus,1,1,Self,FFesteredSkin,0,TRUE,None,0
Drowned2,2,1,DealDamage,10,1,Player,None,0,FALSE,None,0
Drowned2,3,1,DealDamage,7,1,Player,None,0,FALSE,None,0
Amphitrite,1,1,ApplyStatus,1,1,Self,Hrevelation,0,TRUE,None,0
Amphitrite,2,1,DealDamage,12,1,Player,None,0,FALSE,None,0
Amphitrite,2,2,ApplyStatus,1,1,Player,Weaken,1,FALSE,None,0
