CardID,Order,EffectType,StatusEffectType,Value,RepeatCount,Target
PHY_ATK_001,1,DealDamage,None,13,1,Enemy
PHY_ATK_002,1,DealDamage,None,10,1,Enemy
PHY_ATK_002,2,ApplyStatus,Vulnerable,2,1,Enemy
PHY_ATK_003,1,LoseHealth,None,2,1,Self
PHY_ATK_003,2,DealDamage,None,14,1,AllEnemies
PHY_ATK_004,1,DealDamage,None,8,1,Enemy
PHY_ATK_004,2,ApplyStatus,Weaken,2,1,Enemy
PHY_ATK_005,1,DealDamage,None,6,1,Enemy
PHY_ATK_005,2,ApplyStatus,Lifesteal,1,1,Self
PHY_ATK_006,1,LoseHealth,None,5,1,Self
PHY_ATK_006,2,DealDamage,None,20,1,Enemy
PHY_ATK_007,1,DealDamage,None,12,1,AllEnemies
PHY_ATK_007,2,ApplyStatus,Lifesteal,1,1,Self
PHY_DEF_001,1,LoseHealth,None,2,1,Self
PHY_DEF_001,2,GainBlock,None,10,1,Self
PHY_DEF_002,1,ApplyStatus,Resist,30,1,Self
PHY_DEF_003,1,GainBlock,None,8,1,Self
PHY_DEF_003,2,GainBlockOnHealthLossThisTurn,None,8,1,Self
PHY_DEF_004,1,LoseHealth,None,8,1,Self
PHY_DEF_004,2,GainBlock,None,30,1,Self
PHY_SKL_001,1,DoubleNextAttackDamage,None,2,1,Self
PHY_SKL_002,1,LoseHealth,None,5,1,Self
PHY_SKL_002,2,ApplyStatus,Might,5,1,Self
PHY_SKL_003,1,ApplyStatus,Vulnerable,2,1,Enemy
PHY_SKL_004,1,LoseHealth,None,3,1,Self
PHY_SKL_004,2,ApplyStatus,Might,2,1,Self
PHY_SKL_005,1,ApplyStatus,Lifesteal,1,1,Self
PHY_SKL_006,1,ApplyStatus,Might,5,1,Self
PHY_SKL_006,2,ApplyStatus,Guard,5,1,Self
PHY_SKL_006,3,ApplyStatus,Exit,1,1,Self
TEC_ATK_001,1,DealDamage,None,3,2,Enemy
TEC_ATK_002,1,DealDamage,None,5,1,Enemy
TEC_ATK_002,2,GainBlock,None,4,1,Self
TEC_ATK_002,3,HarpoonerStack,None,2,1,Enemy
TEC_ATK_003,1,DealDamage,None,4,1,Enemy
TEC_ATK_003,2,HarpoonerStack,None,3,1,Enemy
TEC_ATK_004,1,DealDamage,None,12,1,Enemy
TEC_ATK_004,2,HarpoonerStack,None,1,1,Enemy
TEC_ATK_005,1,DealDamage,None,7,4,RandomEnemy
TEC_ATK_006,1,DealDamage,None,10,2,Enemy
TEC_ATK_007,1,DealDamage,None,6,5,AllEnemies
TEC_DEF_001,1,GainBlock,None,7,1,Self
TEC_DEF_002,1,GainBlock,None,4,1,Self
TEC_DEF_002,2,HarpoonerStack,None,4,1,AllEnemies
TEC_DEF_003,1,GainBlock,None,13,1,Self
TEC_DEF_003,2,HarpoonerStack,None,4,1,AllEnemies
TEC_DEF_004,1,ApplyStatus,Guard,2,1,Self
TEC_DEF_004,2,GainBlock,None,20,1,Self
TEC_SKL_001,1,DealDamage,None,4,1,Enemy
TEC_SKL_001,2,ApplyStatus,Weaken,2,1,Enemy
TEC_SKL_002,1,GainBlock,None,15,1,Self
TEC_SKL_002,2,HarpoonerStack,None,3,1,Enemy
TEC_SKL_003,1,HarpoonerStack,None,5,1,Enemy
TEC_SKL_004,1,ApplyStatus,MightReduction,4,1,AllEnemies
TEC_SKL_005,1,ApplyStatus,Echo,1,1,Self
TEC_SKL_005,2,HarpoonerStack,None,5,1,AllEnemies
TEC_SKL_006,1,ApplyStatus,Immortal,1,1,Self
TEC_SKL_006,2,ApplyStatus,Exit,1,1,Self
CAP_ATK_001,1,CrewDealDamage,None,8,1,Enemy
CAP_ATK_002,1,DealDamage,None,5,1,AllEnemies
CAP_ATK_002,2,ApplyStatus,Vulnerable,1,1,AllEnemies
CAP_ATK_003,1,DealDamage,None,5,2,Enemy
CAP_ATK_003,2,ApplyStatus,Weaken,1,1,Enemy
CAP_ATK_004,1,AllCrewsDealDamageRandomEnemy,None,4,1,RandomEnemy
CAP_ATK_005,1,DealDamage,None,11,1,Enemy
CAP_ATK_005,2,GainBlock,None,2,1,AllUndeads
CAP_ATK_006,1,AllCrewsDealDamageRandomEnemy,None,7,1,RandomEnemy
CAP_ATK_006,2,ApplyStatus,Weaken,2,1,AllEnemies
CAP_ATK_006,3,HarpoonerStack,None,2,1,AllEnemies
CAP_ATK_007,1,AllCrewsDealDamageAllEnemies,None,4,6,AllEnemies
CAP_DEF_001,1,GainBlock,None,5,1,Self
CAP_DEF_001,2,HarpoonerStack,None,1,1,AllEnemies
CAP_DEF_002,1,Heal,None,1,1,AllUndeads
CAP_DEF_003,1,Sacrifice,None,2,1,Undead
CAP_DEF_003,2,GainBlock,None,16,1,Self
CAP_DEF_004,1,SacrificeAll,None,1,1,AllUndeads
CAP_DEF_004,2,GainBlock,None,25,1,Self
CAP_DEF_004,3,ApplyStatus,Guard,2,1,Self
CAP_SKL_001,1,DealDamage,None,10,1,AllEnemies
CAP_SKL_001,2,ApplyStatus,Weaken,1,1,AllEnemies
CAP_SKL_001,3,ApplyStatus,Vulnerable,1,1,AllEnemies
CAP_SKL_002,1,Sacrifice,None,1,1,Undead
CAP_SKL_002,2,MightEqualToSacrificedHealth,None,0,1,Self
CAP_SKL_002,3,ApplyStatus,Exit,1,1,Self
CAP_SKL_003,1,SummonCrew,None,1,1,Undead
CAP_SKL_003,2,ApplyStatus,Undead,1,1,Undead
CAP_SKL_004,1,Sacrifice,None,1,1,Undead
CAP_SKL_004,2,GainBlock,None,7,1,Self
CAP_SKL_004,3,HarpoonerStack,None,1,1,AllEnemies
CAP_SKL_005,1,SummonCrew,None,2,1,Undead
CAP_SKL_005,2,ApplyStatus,Undead,1,1,Undead
CAP_SKL_006,1,SummonCrew,None,3,1,Undead
CAP_SKL_006,2,ApplyStatus,Undead,1,1,Undead
CAP_SKL_006,3,SetMaxHealth,None,10,1,AllUndeads
CAP_SKL_006,4,DealDamageEqualToHarpoonerStack,None,0,1,Enemy
ALL_ATK_001,1,DealDamage,None,6,1,Enemy
ALL_DEF_001,1,GainBlock,None,5,1,Self
